Call ID,E-bill Pre-enrollment Part 1,E-bill Pre-enrollment Part 2,E-bill Pre-enrollment Part 3,E-Bill TEMP T&C1,E-Billing T&C 1,E-Billing T&C 2,MOVE - Move In
6427017692121739680,1,1,1,,,,1
6427017696416706981,1,,,,,,1
6427017906878493303,,,,,,,1
6427018323481933366,1,1,,1,,1,1
6427019019275025206,1,1,,,,,1
6427020556864914931,1,,,,,,1
6427020986428752926,,,,1,1,1,1
6427021076564347944,1,1,1,,,,1
6427021235536856281,1,1,,,,,1
6427021269829487440,1,1,1,,,,1
6427021858240008133,,,,,,,1
6427021969917547327,,,,,,,1
6427022287803844753,1,,1,,,,1
6427023636356471990,1,1,1,1,1,1,1
6427024482473420451,1,1,1,1,,1,1
6427025178249733819,1,1,1,,,,1
6427025264216184182,1,1,1,,,,1
6427025384408164443,1,1,,1,,1,1
6427025436014876281,1,1,,,,,1
6427025577690083205,1,1,1,,,,1
6427025590574985127,1,1,1,1,,1,1
6427025728072652789,1,1,1,,,,1
6427025998655592846,1,1,1,1,1,1,1
6427025998655592848,1,1,1,,,,1
6427026097381127189,,,,1,1,1,1
6427026097381127190,1,1,1,,,,1
6427026617063781011,1,1,1,,,,1
